Status,Alarm,Clients,Clients (2.4G),Clients (5G),Airtime Utilization (2.4G),Airtime Utilization (5G),Traffic (uplink),Traffic (downlink)
Online,0,0,0,0,2,0,37949687,4220430
Online,0,0,0,0,8,0,57657,95182
Online,2,0,0,0,9,0,0,0
Online,0,2,1,1,13,0,5746106,17925254
Online,0,10,5,5,61,0,20385042,391606539
Online,0,2,0,2,13,0,156382,1295804
Online,0,0,0,0,42,1,3330412,7040692
Online,0,10,8,2,52,1,1047752815,131293499
Online,0,0,0,0,3,0,743388,16277719
Online,0,4,3,1,4,1,24376403,116663334
Offline,1,0,0,0,0,0,,
Online,0,1,1,0,3,0,218348,6094195
Online,1,1,1,0,1,0,569867,3110907
Online,0,1,1,0,9,0,212600,3761911
Online,0,5,5,0,3,0,2209086,25574444
Online,0,1,1,0,3,0,136686,891940
Online,0,1,1,0,2,0,6905465,17176247
Online,0,1,1,0,13,1,2823419,21790140
Online,1,1,1,0,4,0,10359,30217
Online,0,3,1,2,10,0,40176741,227899821
Online,0,3,2,1,7,2,6553899,41221739
Online,0,6,4,2,12,1,27554152,468883263
Online,0,1,1,0,9,0,16930949,351776470
Online,0,5,5,0,6,1,30489923,154461939
Offline,0,0,0,0,,,,
Online,0,2,1,1,1,0,303620,8069092
Online,0,5,2,3,11,0,18114835,11850185
Online,0,2,2,0,0,0,8355567,157551347
Online,0,0,0,0,2,0,518293,8225058
Online,0,2,1,1,19,0,136908,488411
Online,0,1,0,1,4,1,313887,882784
Online,0,1,1,0,1,0,2890447,18822772
Online,0,0,0,0,2,0,504578,9653776
Online,0,1,1,0,4,0,2181152,1702351
Online,0,1,0,1,21,0,2824574,35405843
Online,2,6,4,2,11,0,64512992,196637276
Online,0,1,0,1,6,0,1746278,4753869
Online,0,2,1,1,15,16,9522312,411076429
Online,0,2,2,0,7,0,84135,1282548
Offline,0,0,0,0,0,0,,
Online,0,0,0,0,40,0,6820,12492
Online,0,0,0,0,4,0,367218,3213072
Online,0,0,0,0,6,0,12557,195977
Online,0,3,1,2,21,3,16449690,685028732
Online,0,0,0,0,9,0,0,0
Online,1,1,0,1,4,0,2104171,289569095
Online,0,0,0,0,0,0,22207,61624
Online,0,3,2,1,34,5,7994128,154216896
Online,0,4,4,0,53,2,38689316,111476798
Online,0,4,2,2,5,6,196513313,646094179
Online,0,4,3,1,15,2,63729237,462089387
Online,0,1,1,0,20,0,282977,648183
Online,0,4,4,0,8,1,20604268,191788180
Online,0,3,3,0,40,0,1652919,13476883
Online,0,4,4,0,0,1,4733243,133840831
Online,0,1,1,0,29,0,1053873,5627274
Online,0,2,1,1,29,0,14553698,222127820
Online,0,2,2,0,27,0,10885448,305081799
Online,0,3,3,0,16,0,3120793,36572460
Online,0,1,0,1,6,77,5365200,40017616
Online,0,2,1,1,9,4,239582,963723
Online,0,1,1,0,25,0,64509,172008
Online,0,1,1,0,2,0,3376,52884
Online,0,1,1,0,39,0,6971432,78470578
Online,0,0,0,0,1,0,5294,88514
Online,0,3,3,0,3,0,687205,2822944
Online,0,3,2,1,12,0,33489744,583856272
Online,0,6,6,0,5,0,16169435,88852669
Online,0,4,3,1,36,0,8249732,164703255
Online,0,1,1,0,21,0,225654,3660245
Online,0,2,2,0,14,0,64721317,147969156
Online,0,5,3,2,13,0,938534,7107667
Online,0,2,2,0,41,0,8628257,102902669
Online,0,7,7,0,5,0,8476981,23843332
Online,0,7,7,0,4,0,46874731,345140156
Online,0,1,1,0,20,0,812297,5885720
Online,0,1,1,0,8,0,7569022,180640605
Online,0,4,4,0,12,0,7137956,68972869
Online,0,7,5,2,14,0,49173482,51822384
Online,0,3,2,1,1,2,5314081,90531373
Online,0,10,9,1,14,0,27346487,412082397
Offline,0,0,0,0,0,0,,
Online,0,2,2,0,8,0,1224801,10141978
Online,0,6,6,0,1,1,87972065,193406879
Online,0,6,5,1,26,0,9426532,115499936
Online,0,1,1,0,12,0,34152201,119577884
Online,0,6,6,0,15,0,10332193,233381238
Online,0,3,2,1,28,0,20658124,280244386
Online,0,4,3,1,20,1,47995461,137498474
Online,0,3,1,2,8,0,24030511,13668821
Online,0,4,4,0,31,0,5605964,117548088
Online,0,2,2,0,14,1,1772614,2556271
Online,0,2,2,0,3,0,5176397,192250948
Offline,0,0,0,0,0,0,,
Online,0,0,0,0,17,1,31262,148849
Online,0,14,10,4,43,2,172877115,3527425034
Online,0,0,0,0,5,1,3959444,58251452
Online,0,3,2,1,16,1,23365944,376073517
Online,0,2,1,1,16,0,15979098,212652298
Online,0,4,3,1,13,0,26246540,479837370
Online,0,3,2,1,1,0,11868032,23045498
Online,0,2,2,0,3,0,97790,657120
Online,0,3,1,2,22,0,428527,7899111
Online,0,2,1,1,10,0,1039213,3735661
Online,0,2,2,0,16,0,1799618,2334263
Online,0,4,3,1,1,1,71674828,235272981
Online,0,4,3,1,1,1,2504468,40425626
Online,0,2,2,0,13,0,6334462,46753341
Online,0,3,2,1,17,0,2417730,23400062
Online,0,3,2,1,9,0,93334883,135290785
Online,0,1,1,0,12,0,3620957,51464975
Online,4,5,5,0,6,0,3800480,11947322
Online,0,2,1,1,13,0,1298106,7594360
Online,0,0,0,0,15,1,13921840,43411091
Online,0,3,2,1,8,5,120153238,757496583
Online,0,0,0,0,6,0,36571,153369
Online,0,3,2,1,6,0,188791412,25533984
Online,0,3,1,2,9,0,13197296,60499860
Online,0,5,5,0,19,1,26694372,83743525
Online,0,21,5,16,1,7,73752699,816546491
Online,0,5,4,1,10,7,2417360,18392125
Online,0,4,4,0,7,0,1202263,7644246
Online,0,1,1,0,1,1,2386014,67575257
Online,0,0,0,0,5,0,2207,30440
Online,0,0,0,0,10,0,3081386,84788863
Online,0,1,1,0,2,0,59361,237004
Online,0,4,2,2,4,0,15381582,356491586
Online,0,0,0,0,13,0,1172369,515453
Online,0,1,1,0,5,0,6663703,71828633
Online,0,3,3,0,31,0,81011720,864275401
Online,0,4,3,1,3,0,49072887,117556834
Online,0,5,5,0,7,0,3758046,8678296
Online,0,4,3,1,52,0,816903,1873519
Online,0,5,4,1,7,0,11379252,30404577
Online,0,2,2,0,12,2,1243160,13289637
Online,0,2,2,0,3,0,3711985,6169932
Online,0,2,1,1,6,0,1945127,9989411
Online,0,3,3,0,19,0,31584340,7659750
Online,0,9,7,2,23,2,29056421,409395677
Online,0,4,4,0,15,2,8277497,11921731
Online,0,2,2,0,2,0,1047403,3146402
Online,0,2,2,0,33,0,10249139,179374406
Online,0,0,0,0,11,0,171494,5470152
Online,0,6,2,4,2,1,22284266,129146455
Online,0,3,3,0,6,0,790914,5049023
Online,0,6,6,0,40,0,51337897,668159806
Online,0,3,2,1,10,0,7340136,39254688
Online,0,1,1,0,8,0,1764554,3826841
Online,0,5,2,3,16,0,10170242,34870069
Online,0,4,4,0,28,0,48735307,187674554
Online,0,5,5,0,7,0,7295002,105859748
Online,0,5,3,2,3,0,2495019,12378898
Online,0,1,1,0,28,4,925209,13292461
Online,0,4,3,1,28,1,23374942,227798668
Online,0,3,3,0,4,0,9811562,57268440
Online,0,4,3,1,5,0,13057088,216413246
Online,0,5,5,0,13,0,11451548,181140539
Online,0,0,0,0,4,0,1464227,24852634
Online,0,1,1,0,8,0,5095554,90871647
Online,0,3,2,1,8,13,5084089,11046884
Online,1,2,1,1,9,0,232431,740215
Online,0,3,3,0,12,0,2595810,11662037
Online,0,6,6,0,7,0,25261479,176208934
Online,0,0,0,0,11,0,0,36026
Online,0,9,9,0,13,1,24563053,348483197
Online,0,2,2,0,8,0,2280273,17748768
Online,0,3,2,1,24,0,6036268,30683157
Online,0,1,0,1,18,0,54174,854598
Online,0,4,4,0,11,0,15425349,439220711
Online,0,2,1,1,23,0,137082,2447122
Online,0,1,1,0,16,1,63405,539190
Online,0,2,2,0,37,1,13601141,18590276
Online,0,3,3,0,12,0,975316,3361493
Online,0,9,8,1,38,2,73248564,1570863617
Online,0,3,2,1,1,0,15049304,281155792
Online,0,5,3,2,24,0,56888625,383230681
